矩阵大小,列访问时间(ms),行访问时间(ms),加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
16,0.000338,0.00011,3.07273,2.12,0.07,0.01,0.00
32,0.00,0.00,2.64,8.25,0.26,0.03,0.00
45,0.00,0.00,1.82,16.17,0.51,0.06,0.00
48,0.00,0.00,3.19,18.38,0.57,0.07,0.00
64,0.01,0.00,4.09,32.50,1.02,0.13,0.00
80,0.01,0.00,1.76,50.62,1.58,0.20,0.01
90,0.01,0.00,2.41,63.98,2.00,0.25,0.01
96,0.01,0.00,2.83,72.75,2.27,0.28,0.01
112,0.01,0.01,2.09,98.88,3.09,0.39,0.01
128,0.02,0.01,2.24,129.00,4.03,0.50,0.02
135,0.02,0.01,2.53,143.44,4.48,0.56,0.02
181,0.03,0.02,1.81,257.36,8.04,1.01,0.03
226,0.07,0.02,3.08,400.80,12.52,1.57,0.05
256,0.08,0.02,3.27,514.00,16.06,2.01,0.06
271,0.08,0.03,2.74,575.88,18.00,2.25,0.07
316,0.09,0.03,2.52,782.59,24.46,3.06,0.10
362,0.13,0.04,3.02,1026.61,32.08,4.01,0.13
512,1.15,0.09,12.23,2052.00,64.12,8.02,0.25
768,2.16,0.22,9.82,4614.00,144.19,18.02,0.56
1024,6.02,0.41,14.73,8200.00,256.25,32.03,1.00
1280,12.09,1.11,10.88,12810.00,400.31,50.04,1.56
1536,18.27,1.38,13.25,18444.00,576.38,72.05,2.25
1792,27.96,2.36,11.84,25102.00,784.44,98.05,3.06
2048,70.29,3.07,22.86,32784.00,1024.50,128.06,4.00
4096,303.13,11.26,26.91,131104.00,4097.00,512.12,16.00
